Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,BallCentroidDistanceAtBrimPlane,BallCentroidDistanceMin,DistanceMiss,LateralMiss,LongitudeMiss,BallSpeedMax,BallAltitudeMax,WristSpeedMax,DispatchDistance,DispatchElbowAltitude
7,1,7,Daylight,10,20,Miss,6.415107881399974,6.415107881399974,2.7651078813999748,0.0,189.0742,6.074645130483433,73.572,2.555713095180827,137.4145,38.10549999999999
7,2,8,Darkness,1,1,Miss,14.762462178444357,14.714904877028598,11.0649048770286,0.0,212.0829,5.722969226758477,75.43299999999999,1.2800258572121421,159.4436,
7,2,8,Darkness,2,2,Miss,15.70848982843355,15.70848982843355,12.05848982843355,3.7836000000000007,212.0637,5.819232492409235,80.98349999999999,1.9098533861000624,166.0686,
7,2,8,Darkness,3,3,Miss,14.790255092796746,13.593232174137249,9.94323217413725,9.528399999999998,216.74479999999997,5.53489756943837,76.8243,2.29955835935164,168.865,
7,2,8,Darkness,4,4,Miss,12.413910985261648,12.413910985261648,8.76391098526165,5.6231,223.1208,5.523243625887885,79.6156,0.9517707082321926,169.8277,
7,2,8,Darkness,5,5,Hit,4.005872695181403,1.8518055584272959,0.0,0.0,212.81519999999998,5.266964547798865,78.018,2.1076716135069042,161.9412,
7,2,8,Darkness,6,6,Miss,7.608268189936522,6.959166721670054,3.3091667216700547,3.2161,211.8862,5.485305619075721,77.83459999999997,1.7110262969178576,160.0909,42.692099999999996
7,2,8,Darkness,7,7,Miss,9.422402271183286,9.422402271183286,5.772402271183286,2.5698999999999996,209.14149999999998,5.927784985275524,77.09370000000001,1.9312524610429371,157.70850000000002,36.0012
7,2,8,Darkness,8,8,Miss,13.052207382278292,12.005458031245622,8.355458031245622,8.2344,213.7707,5.4098505205943965,74.1873,2.1791819378946395,160.7969,45.61349999999999
7,2,8,Darkness,9,9,Hit,4.576679851158473,2.6850001571822646,0.0,2.3844000000000003,219.97510000000003,5.678970259002624,79.4085,1.1277921028486506,167.8863,
