Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,RadialError
9,2,18,Lit room,7,17,Miss,9.64823079999644
9,2,18,Lit room,8,18,Hit,3.7264913269723303
9,2,18,Lit room,9,19,Miss,7.0555540937618755
9,2,18,Lit room,10,20,Hit,3.0170980759663726
10,1,19,Dark room,1,1,Miss,3.2123017993333063
10,1,19,Dark room,2,2,Miss,13.62535110923752
10,1,19,Dark room,3,3,Miss,14.963578279609461
10,1,19,Dark room,4,4,Miss,39.526575487512204
10,1,19,Dark room,5,5,Miss,21.51644392784273
10,1,19,Dark room,6,6,Miss,42.73792352056895
10,1,19,Dark room,7,7,Miss,11.261457378598909
10,1,19,Dark room,8,8,Miss,18.092375387715137
10,1,19,Dark room,9,9,Miss,26.674350605966026
10,1,19,Dark room,10,10,Miss,16.724361682288507
10,1,19,Lit room,1,11,Miss,14.724777771158385
10,1,19,Lit room,2,12,Miss,13.169692898849247
10,1,19,Lit room,3,13,Hit,1.5531600851167755
10,1,19,Lit room,4,14,Miss,7.133788284635314
10,1,19,Lit room,5,15,Miss,9.873962740460383
10,1,19,Lit room,6,16,Miss,22.70197003830286
10,1,19,Lit room,7,17,Miss,24.48110241962156
10,1,19,Lit room,8,18,Miss,37.170765528436455
10,1,19,Lit room,9,19,Miss,29.904593772362134
10,1,19,Lit room,10,20,Miss,7.98765160106522
10,2,20,Dark room,1,1,Miss,5.878969230230745
10,2,20,Dark room,2,2,Miss,18.212124637449634
10,2,20,Dark room,3,3,Miss,14.589266479504717
10,2,20,Dark room,4,4,Miss,9.978904343163133
10,2,20,Dark room,5,5,Miss,7.163191113602935
10,2,20,Dark room,6,6,Miss,8.48434508079438
10,2,20,Dark room,7,7,Miss,16.11263691516693
10,2,20,Dark room,8,8,Miss,9.471865084554365
10,2,20,Dark room,9,9,Miss,6.735044606385321
10,2,20,Dark room,10,10,Miss,7.17313265177774
10,2,20,Lit room,1,11,Miss,30.389362374686314
10,2,20,Lit room,2,12,Miss,12.41671396948483
10,2,20,Lit room,3,13,Miss,11.93584799249722
10,2,20,Lit room,4,14,Miss,40.17172319841411
10,2,20,Lit room,5,15,Miss,6.6595136909537205
10,2,20,Lit room,6,16,Miss,8.569631861988002
